Date,ETH,BNB,SOL,SPY,NVDA,Oil,Gold,Nasdaq,Energy,Layer0,SmartContract,Lending,Exchange,SocialTokens,Gaming,RealWorldAssets
2021-01-21,0.6301202148475967,0.5835766109366588,0.16772603003492267,0.18435625350414925,0.027731188009570536,0.13600088950776756,0.0058915142315702175,0.20464778950746287,0.5136692734407832,0.4091593618627362,0.25008842802356257,0.04217527762380148,0.006916541839086924,-0.3739696915909381,0.03743085586641971,0.64082999398967
2021-01-22,0.6396019402540563,0.5929334190457416,0.18264876112485537,0.17227759539590895,0.0186102467667504,0.11690327658453704,-0.0015610073930603732,0.20092873980978243,0.5184762463843511,0.4135324185159695,0.2605961643171641,0.04882074230487162,0.05007468456577707,-0.3999743741258998,0.03545653543783605,0.6472413811915684
2021-01-23,0.6386112504313133,0.5903405235177338,0.17506581521335002,0.1724849230122715,0.0186274752686706,0.11745359674776973,-0.0016742142356289632,0.2011801698543231,0.510195557563531,0.4008025056799841,0.2560800450262151,0.04630844567907635,0.05174327271589349,-0.39793819404020087,0.03595104300375735,0.6465912059088847
2021-01-24,0.6229088749684539,0.5923841759251951,0.17381784143392948,0.17366630634878172,0.015684295801393217,0.11614297648497059,-0.0016055475314401483,0.20136267076588354,0.5101063646994954,0.40327090218709355,0.2556585129265961,0.15466201801875476,0.0514562288258985,-0.3980500403382205,0.035783427990002024,0.6464405058757552
2021-01-25,0.6218855296273095,0.5923959227115306,0.1741790886827664,0.17961824303799087,0.008175425569917754,0.1053939895755301,-0.00452896437463887,0.1969713492780851,0.5148105970418979,0.40785269074804215,0.25495841525035423,0.23496305071560328,0.055132321959895876,-0.3987278234482856,0.04245212842279539,0.6426864479242635
2021-01-26,0.6179244136153765,0.5876467506532784,0.16022144747241293,0.15138218965901265,-0.02077010607818668,0.0769438980032912,-0.021328099465439856,0.17235609069183602,0.5099279795892454,0.40218952845400024,0.25045482283128306,0.23848317101892832,0.05252168875462785,-0.401255624753651,0.040310504029703445,0.6371765566932498
2021-01-27,0.6303512309570862,0.5880619697152404,0.17809037087383972,0.21136285500070273,0.017839995654123964,0.0782782920226779,-0.014636499018933364,0.22236052564433187,0.5307314646042692,0.4196409425126929,0.2525118081427954,0.2541364251435522,0.057980794927039885,-0.3924947740942564,0.04209036039160538,0.648649490393993
2021-01-28,0.6318928643614514,0.5954567256113504,0.17839735145652336,0.2301165504317061,0.02807360364112864,0.056354211626350514,-0.02286634253242914,0.232561838190002,0.5518713180709394,0.426284620450693,0.24823049522707175,0.245865066160499,0.04920645201749764,-0.38437739958328504,0.03863714104632301,0.6615615480267423
2021-01-29,0.632668997352184,0.595845713936988,0.17725503704315235,0.20869018321876948,0.027105237277314263,0.055144209579631176,-0.021037870174136587,0.21670407003581812,0.5532915303698093,0.42482943659875366,0.248036972695332,0.24690826557738105,0.04853133546717528,-0.38431303615055973,0.03834012968689013,0.6622447406768587
2021-01-30,0.6341463374929207,0.5888704077124887,0.17463347475057034,0.20862828966145608,0.0270950329497971,0.05502941616707478,-0.021035536745000853,0.21663243296674908,0.5538707828987222,0.4253783064947887,0.24864677034526686,0.23420660602678853,0.048392453559135754,-0.3843991117202652,0.03840578572006639,0.6620728703542358
